Id,SalePrice
1461,131147.55333333334
1462,156266.35
1463,180748.82333333333
1464,185057.0
1465,195909.52333333335
1466,182629.03333333333
1467,164863.22
1468,174104.31
1469,186373.18333333332
1470,117946.73666666666
1471,196354.67666666667
1472,95633.03666666667
1473,95863.03
1474,153560.38
1475,142502.35333333333
1476,375162.08
1477,250467.53333333333
1478,303509.5366666667
1479,263376.58
1480,440634.16333333333
1481,301676.34
1482,209785.99
1483,174434.97
1484,169969.56333333332
1485,170704.14
1486,202898.47
1487,328129.60333333333
1488,238420.98666666666
1489,200639.97
1490,191933.98333333334
1491,187338.59
1492,106517.09333333334
1493,180908.5
1494,289510.93666666665
1495,293088.05666666664
1496,224623.21
1497,191364.81
1498,154487.55666666667
1499,152503.89333333334
1500,152472.78333333333
1501,174661.83333333334
1502,149660.82
1503,292482.68
1504,230048.66
1505,220349.10333333333
1506,180558.34333333332
1507,224267.04
1508,207926.71333333335
1509,162237.57333333333
1510,148692.86333333334
1511,146379.82333333333
1512,161739.98
1513,152761.42333333334
1514,167799.48333333334
1515,178605.44333333333
1516,165697.11
1517,154298.80666666667
1518,129275.60333333333
1519,224569.1
1520,138269.33333333334
1521,144658.71333333335
1522,163472.33333333334
1523,116312.49666666667
1524,128776.79666666666
1525,130395.44
1526,128937.94666666667
1527,100215.53
1528,126609.57666666666
1529,142187.58333333334
1530,170692.0
1531,130131.92
1532,107240.93333333333
1533,143491.59666666668
1534,119567.52666666667
1535,153741.0
1536,116596.87666666666
1537,77568.46
1538,186459.28
1539,226374.64333333334
1540,112658.77
1541,146358.45333333334
1542,140295.38666666666
1543,222107.54333333333
1544,89483.39333333333
1545,105556.47
1546,123088.95333333334
1547,141545.76333333334
1548,141319.71666666667
1549,114715.91
1550,141625.39333333334
1551,115265.9
1552,146481.13333333333
1553,144911.74333333335
1554,112380.62666666666
1555,178372.99333333335
1556,95728.88333333333
1557,131445.37333333332
1558,97347.58
1559,112823.40333333334
1560,156981.16666666666
1561,158787.86666666667
1562,124102.71666666666
1563,121486.08222222223
1564,166048.75333333333
1565,154461.31333333332
1566,210071.82
1567,80786.90666666666
1568,217390.23333333334
1569,144729.14333333334
1570,124018.89666666667
1571,131292.15666666668
1572,143286.91666666666
1573,248955.42666666667
1574,104546.44666666667
1575,203522.44666666666
1576,214260.66666666666
1577,198310.94333333333
1578,149332.62
1579,140871.96444444446
1580,189879.1
1581,141701.0
1582,129255.52666666667
1583,328663.7866666667
1584,242021.25333333333
1585,140572.44444444447
1586,73888.53333333334
1587,102308.99
1588,156623.12666666668
1589,107709.84
1590,134895.44333333333
1591,106081.16666666667
1592,121070.69
1593,120799.84666666666
1594,141892.13
1595,120990.26666666666
1596,240056.30666666667
1597,166732.44666666666
1598,184875.12333333332
1599,223136.79333333333
1600,193254.86666666667
1601,71008.84666666666
1602,113906.60666666667
1603,95689.45333333334
1604,282336.23
1605,245278.20666666667
1606,170093.70666666667
1607,177318.77333333335
1608,200619.84666666668
1609,192957.03333333333
1610,156020.35
1611,151971.05
1612,154538.09
1613,172297.9
1614,124120.86666666667
1615,88127.66666666667
1616,78814.20333333334
1617,88645.55333333333
1618,125090.49666666667
1619,132612.67
1620,144891.78
1621,141151.68
1622,154635.13
1623,295012.4866666667
1624,209006.78
1625,140178.44333333333
1626,174520.10666666666
1627,187640.83333333334
1628,273961.74666666664
1629,175681.45
1630,364521.9266666667
1631,216573.07666666666
1632,243672.91333333333
1633,168088.31
1634,177502.07333333333
1635,177516.13333333333
1636,159825.85666666666
1637,171365.36666666667
1638,212476.83666666667
1639,182682.37
1640,255058.74666666667
1641,182909.58
1642,227250.4
1643,222376.41333333333
1644,223202.14666666667
1645,179585.33333333334
1646,152862.74666666667
1647,162520.02333333335
1648,141262.56333333332
1649,139878.9
1650,118144.66666666667
1651,118289.4
1652,93581.0
1653,99823.81333333334
1654,158932.11333333334
1655,152915.49
1656,149923.89
1657,159162.28
1658,153099.67
1659,146796.13333333333
1660,143186.93333333332
1661,428115.98333333334
1662,373161.35
1663,374521.3933333333
1664,433777.55333333334
1665,306736.88333333336
1666,337123.38
1667,346643.4
1668,328088.68333333335
1669,295052.0966666667
1670,334912.99666666664
1671,260406.75
1672,468346.7033333333
1673,295864.99666666664
1674,249573.43333333332
1675,187830.34333333332
1676,190586.83
1677,211113.89333333334
1678,447244.01
1679,366166.35333333333
1680,327226.7266666667
1681,272781.07666666666
1682,299430.0366666667
1683,183177.69
1684,168979.49666666667
1685,174207.87333333332
1686,167241.84333333332
1687,165774.19333333333
1688,188403.41333333333
